id	age	employees	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage
7009	40	95	14872	18038	3688	192	-.048345886	.012910167	.010644196	-.57474023	11.888089
7504	10	42	13304	9258	2813	629	.03179495	.047279015	.067941241	.063733615	2.0045202
7725	10	69	25378	34011	4418	-793	-.046654582	-.031247538	-.023315987	-.969697	20.784603
7995	44	20	2258	4610	1008	212	.095217004	.093888395	.045986984	.30453259	3.1983004
9705	3	25	5634	7332	1149	-100	-.039226126	-.017749378	-.013638844	-1.1881721	30.290323
8980	49	24	2512	2173	717	50	.018312102	.019904459	.023009663	.086466163	4.7218046
8201	32	40	7516	8372	2361	724	.10098457	.096327834	.08647874	.1460177	1.4459407
7256	12	220	1680	2260	579	-287	-.19761905	-.17083333	-.12699115	1.8043479	-9.130435
7246	12	143	59171	23557	6037	-5717	-.10371635	-.096618272	-.24268796	-.78148478	7.5348272
7266	62	80	29711	18297	4785	-633	-.055736933	-.021305241	-.034595836	-.24771877	4.444428
8336	39	29	1636	1583	979	153	.10513447	.093520783	.096651927	.15551537	1.4792043
8361	6	49	17051	12899	4123	850	.059468653	.049850449	.065896578	.15024447	2.5264482
7456	31	22	7136	9033	1429	507	.05605381	.071048208	.056127533	.097016737	1.7307786
7254	74	48	15332	11501	1192	-962	-.094638661	-.062744588	-.083644897	-1.71513	18.122931
8384	43	14	13912	12295	1590	636	.0073317997	.045715928	.051728345	.08755365	11.941631
7443	43	60	12383	10308	3008	536	.017201001	.04328515	.051998448	.070740618	4.112587
8156	53	18	2209	2197	780	26	.03078316	.011770031	.01183432	.044766292	1.4542462
7427	62	175	129910	85368	27001	3365	.010853668	.025902549	.03941758	.026273618	2.4207132
8206	31	40	4614	3315	1474	243	.024057217	.0526658	.073303171	.13875	5.7674999
8978	9	20	1144	1811	740	206	.15909091	.18006992	.11374931	.70542634	4.4341087
8330	11	26	1693	1548	460	-553	-.38157117	-.32663912	-.35723513	-3.6089385	9.4581003
8389	50	14	13486	9707	1711	564	.0017796233	.041821148	.058102399	.015276894	8.584341
9672	28	30	6405	5003	1439	30	-.023106948	.0046838406	.0059964024	-.142171	6.1527376
7508	36	260	86849	99627	21024	4684	.027519027	.053932689	.047015369	.071002051	2.5801075
7713	14	30	2061	3379	1739	59	.027656477	.02862688	.017460788	1.0363636	37.472729
7174	33	24	5298	4650	2088	918	.20366175	.17327294	.19741936	.25081357	1.2315202
7530	13	11	455	783	491	34	.039560441	.074725278	.043422733	.38297874	9.680851
8164	47	180	35489	59183	14249	3850	.095635265	.10848432	.065052465	.33398938	3.4923244
8280	22	47	8473	12577	2073	250	.0011802195	.029505488	.019877555	.0061652283	5.2237978
9221	12	22	6062	7025	1186	140	.037281424	.023094688	.019928826	.31345353	8.4077673
8311	17	20	3210	3532	889	198	.027414329	.061682243	.056058891	.55696201	20.316456
9628	59	16	6686	1625	79	-653	-.1094825	-.097666763	-.40184614	-.16625029	1.5185101
7204	30	30	3350	2361	1190	-459	-.15671642	-.13701493	-.19440915	-3.0701754	19.590643
9662	40	30	3459	2385	820	119	.0092512285	.034403007	.049895179	.031341821	3.3878551
7525	153	500	320780	287548	107292	39430	.10420849	.12291913	.13712493	.26523843	2.5452671
8964	25	30	2646	4424	1113	147	.032879818	.055555556	.03322785	.28712872	8.7326736
7460	35	24	12003	6705	906	370	.010080813	.030825626	.055182699	.028659403	2.8429654
8224	44	34	3411	3091	1866	66	-.0011726767	.019349165	.021352313	-.0088691795	7.5631928
9631	45	19	3227	2439	1045	193	.020762319	.059807871	.079130791	.13929313	6.7089396
7225	32	16	1412	1866	593	48	.021246459	.033994336	.025723472	.075376883	3.5477388
8409	22	25	5579	3913	1261	350	.02742427	.06273526	.089445442	.1827957	6.665472
7238	14	29	3760	3587	1070	108	.00026595744	.028723404	.030108726	.0018484289	6.9500923
9661	27	17	3763	2366	1224	219	.022322616	.058198247	.092561282	.093023255	4.1672206
7748	22	340	172035	229895	20936	1500	.0053942511	.0087191556	.0065247179	.012933978	2.3977337
9647	33	20	7609	7659	1303	579	.060454726	.076094098	.075597338	.1905551	3.1520298
7537	11	25	2272	4089	1387	98	.022007043	.043133803	.023966741	.52083331	23.666666
8235	28	17	4028	3649	616	81	.019364448	.020109236	.022197863	.036111113	1.8648148
7528	14	19	2312	2525	810	254	.099480972	.10986159	.10059406	.29639176	2.9793816
8405	37	275	76049	60719	17436	3534	.032360714	.046470039	.058202539	.10490196	3.2416453
7192	29	43	12303	13976	3284	1135	.088271156	.092253923	.081210651	.16170339	1.831894
7207	23	36	14017	5569	1567	73	-.0076335878	.0052079619	.013108278	-.02063645	2.7033751
8955	24	18	872	2878	447	69	.079128437	.079128437	.023974983	.61061949	7.716814
7196	25	10	4263	2999	841	136	.03166784	.031902418	.045348451	.080023713	2.5269709
7752	17	17	3633	2060	531	28	-.032204788	.0077071292	.013592233	-4.875	151.375
9212	29	29	4842	3421	1926	709	.16212308	.14642709	.20724934	.2081676	1.2840096
7439	42	20	6979	4041	1239	301	.0044418969	.043129388	.074486516	.017174516	3.866482
7172	35	35	12415	11971	2802	542	.033024568	.043656867	.045276083	.06095748	1.8458222
8387	58	18	5039	2623	935	148	.0051597538	.029370908	.056423943	.017508417	3.393266
8956	38	15	967	979	489	14	-.031023785	.014477766	.014300306	-.30927834	9.9690723
7161	50	25	2098	2464	1517	108	.0095328884	.051477596	.04383117	2.5	262.25
7163	46	18	2908	1356	408	-149	-.0522696	-.051237963	-.109882	-.06909091	1.3218182
7674	49	19	3158	2033	1220	243	.072830908	.076947436	.11952779	.16208598	2.2255108
8135	76	85	9244	7431	3815	-126	-.034941584	-.013630463	-.016955996	-.16346154	4.6781378
7536	12	30	6090	4724	1662	254	-.0027914613	.041707717	.053767994	-.059440561	21.293707
9640	0	44	7769	5113	2498	236	.017762903	.03037714	.046156853	.079722703	4.4881573
8210	45	24	3134	3296	1739	398	.13816209	.12699425	.12075242	.27544528	1.9936386
8970	13	14	538	1036	656	127	.20446096	.23605949	.12258688	1.4285715	6.9870129
7502	22	19	1073	2441	881	-33	-.046598323	-.030754892	-.01351905	-.51546389	11.061855
9214	29	140	14645	23263	6853	1507	.1041311	.10290202	.06478098	.20799236	1.9974086
8429	4	22	1354	2235	755	127	.082717873	.093796156	.056823265	.88188976	10.661417
9670	23	21	932	1539	925	99	.07188841	.10622317	.064327486	.84810126	11.797468
8331	11	60	21518	24635	5543	1041	.010549308	.048378102	.042256951	.080183677	7.6008477
7739	35	86	5929	19352	3287	625	.10693203	.10541406	.032296404	.62648219	5.8586955
7750	20	15	2193	2932	576	127	.036935706	.057911538	.043315142	.75	20.305555
7688	50	60	5561	7016	3024	199	.029850746	.03578493	.02836374	.07474111	2.5038271
8337	9	11	1303	1464	595	56	.019186493	.042977743	.038251366	.29761904	15.511905
7197	25	201	39606	60535	16504	1540	.041382618	.038882997	.025439829	.13037944	3.1505847
9616	64	222	87827	103997	17591	4610	.0281804	.052489553	.044328202	.14166333	5.0270162
8322	12	13	394	622	305	-95	-.30964467	-.24111675	-.15273312	1.2577319	-4.0618558
7249	10	18	1492	2062	971	123	.054289546	.082439676	.059650823	.1937799	3.5693779
8974	28	15	4489	6047	1347	587	.14635776	.1307641	.097072929	.39530686	2.7009628
7545	74	55	24330	17126	3039	355	.002055076	.01459104	.020728717	.0057770074	2.8110919
7205	20	65	13017	16089	7333	3123	.23661366	.23991702	.19410777	.50016236	2.1138356
7729	5	20	10223	18776	1898	687	.048126772	.067201406	.036589261	1.3781513	28.635855
7470	31	16	4811	3368	1633	649	.1353149	.13489918	.19269596	.17113565	1.2647214
8174	40	21	19080	15393	1839	610	.011320755	.03197065	.039628401	.062790699	5.5465117
8227	60	35	7054	7103	2125	-119	-.032180324	-.016869862	-.016753484	-.075265251	2.3388593
7426	62	63	6546	6888	2738	154	.0076382523	.023525817	.022357723	.026553372	3.4763675
7221	28	23	5316	11266	1716	598	.071482316	.11249059	.053080063	.3685742	5.1561589
8182	46	21	3110	5133	971	41	-.04340836	.01318328	.0079875318	-.16749379	3.8585608
8302	17	43	4783	3897	1767	75	.020698307	.015680535	.019245574	.027989822	1.352276
7181	33	38	4397	3507	2380	752	.15624289	.17102569	.21442829	.34732053	2.2229524
7434	46	17	728	1075	677	-20	-.03021978	-.027472528	-.018604651	-.089795917	2.9714286
7440	44	25	8114	3975	1453	305	.012694109	.037589353	.076729558	.023936788	1.8856611
8291	20	81	15113	17065	4707	391	.033613447	.025871767	.022912394	.068519019	2.0384407
8173	42	15	6279	6907	1907	216	.0022296545	.034400381	.031272624	.020467836	9.1798248
7487	27	44	9459	7424	2004	-33	-.0053916904	-.0034887409	-.0044450429	-.0097907465	1.8158956
8293	19	11	1268	1901	705	71	.055205047	.055993691	.037348762	.094212651	1.7065949
9673	29	30	2355	2749	1000	39	.0084925694	.01656051	.014186977	.031496063	3.7086613
7998	82	82	36083	38414	7645	2728	.05767259	.07560347	.071015775	.16327971	2.8311496
7539	35	110	23602	27005	8614	3444	.12138802	.14591984	.12753195	.27392676	2.2566211
7506	21	42	37340	73133	3119	1507	.010471344	.040358864	.020606292	.1412062	13.485013
8014	20	20	3123	3696	852	242	.058917709	.077489592	.065476194	.11682539	1.9828571
7505	29	107	25042	20042	9478	1828	.029909752	.072997361	.091208465	.19464657	6.5077963
8018	58	46	7657	7444	772	-1091	-.16899569	-.14248399	-.14656098	-.9642325	5.7056632
7499	10	15	727	1546	671	74	.10729023	.10178817	.047865458	.29213482	2.7228465
7179	79	19	4533	3600	765	60	-.02183984	.013236267	.016666668	-.062225014	2.8491514
9217	24	12	4922	5596	753	350	.06562373	.071109302	.062544674	.13554344	2.0654638
7247	12	15	2871	5965	1514	680	.22884013	.23685127	.11399832	.5350163	2.3379478
7498	23	51	7251	6091	2747	332	.0086884564	.045786787	.054506648	.079545453	9.155303
9693	21	23	2374	2247	860	126	.01137321	.053074978	.056074765	.15976331	14.047338
8388	50	11	10706	8709	1144	214	.001494489	.019988792	.024572281	.0073800739	4.9381919
7201	24	20	1032	2077	563	49	.044573642	.04748062	.02359172	.10599078	2.3778801
9627	50	27	6402	8023	1554	629	.086847857	.098250546	.078399599	.1616749	1.8615876
8157	49	17	1084	1130	566	42	-.013837638	.038745388	.037168141	-.375	27.1
8166	46	45	17548	16708	3923	521	.04011853	.029689994	.031182667	.060694888	1.512889
8021	29	14	502	1387	511	56	.087649405	.11155379	.040374909	2.0952382	23.904762
8965	48	45	4129	2643	1339	-34	-.038265925	-.0082344394	-.01286417	-.11237554	2.9366999
7437	45	44	10193	8498	2227	398	.048660845	.039046403	.046834551	.067917295	1.3957278
7166	58	30	14073	8030	1895	341	.0098060118	.024230797	.042465754	.027655311	2.8202405
8053	22	36	4671	10338	2096	810	.17276815	.1734104	.078351714	.29196817	1.6899421
8253	25	40	6850	7655	2156	178	-.001459854	.025985401	.023252776	-.023041476	15.78341
8192	33	84	319742	104509	38856	8350	.016325662	.026114805	.079897426	.085436516	5.2332644
8172	41	14	5592	8993	983	366	.040593706	.065450646	.04069832	.23719957	5.8432603
8319	15	11	762	958	513	66	.044619422	.086614177	.068893529	1.2592592	28.222221
8303	81	350	187683	258220	47544	14472	.074481972	.077108741	.056045234	.18282045	2.4545598
7220	18	97	649	1456	1216	79	.11402157	.12172573	.054258242	.354067	3.1052632
8294	30	37	3908	6359	2050	343	.068833165	.087768681	.053939298	.31206498	4.5336428
8219	29	37	18618	10117	1164	-135	.074981198	-.0072510475	-.013343876	.097930551	1.3060681
7182	39	52	16935	10157	3165	301	.023737822	.017773841	.029634735	.031354807	1.3208798
8357	10	20	4497	3454	1076	455	.082499444	.10117856	.13173133	.10731848	1.3008388
8181	36	18	1261	2289	456	38	-.0039651073	.030134814	.016601136	-.060240965	15.192771
7751	23	25	3531	4616	1591	398	.11866327	.11271594	.086221837	.32836992	2.7672415
7446	40	38	4723	5137	1648	332	.07347025	.070294306	.06462916	.14905499	2.02878
9635	44	25	4373	6295	1330	210	.020580838	.048021954	.033359811	.099228226	4.8213892
8392	35	55	8623	9170	2906	908	.097529858	.10529978	.099018537	.28880495	2.961195
7218	33	12	2396	2839	433	76	.001669449	.031719532	.02676999	2	1198
8273	22	38	7470	13823	1565	370	.041499332	.04953146	.026766982	.37037036	8.9247313
8420	9	28	2496	3647	1621	415	.1630609	.16626602	.11379216	.47052023	2.8855491
9655	29	46	9403	7808	2540	307	.00042539614	.032649156	.039318647	.0023837902	5.6036949
8270	26	34	12674	9585	2342	-178	-.015859239	-.014044501	-.018570684	-.024396164	1.5382935
8228	29	14	1214	1078	421	41	.014827018	.033772651	.038033396	.037578288	2.5344467
8132	77	28	6412	4325	1361	261	-.0063942606	.040704928	.060346819	-.020950435	3.2764435
7480	40	270	29822	24986	8662	945	.024512105	.031688016	.037821181	.082664251	3.372385
7734	73	35	9445	9154	2890	1239	.129063	.13118052	.13535066	.23596594	1.8283005
8333	46	163	67210	60442	29331	17749	.2932004	.26408273	.29365343	.53213435	1.8149168
7215	30	19	12241	3463	1074	219	.0070255697	.017890695	.063239962	.011708645	1.6665759
9641	51	30	5855	10907	3136	940	.16122971	.16054654	.086183183	.34654918	2.1494126
8403	23	16	3248	3139	545	88	-.0061576352	.027093597	.028034406	-.027100271	4.4010839
7237	14	32	5213	8933	1807	95	.010550546	.018223671	.010634725	.12168141	11.533186
9706	3	38	14979	12416	2392	788	.0074103745	.052606981	.063466497	.022820724	3.0795641
9669	23	273	203672	182734	56083	17745	.074153543	.087125376	.097108364	.27173445	3.6644835
8382	4	180	42016	46008	10275	-451	-.056264281	-.010734006	-.0098026432	-.58154982	10.33604
7704	29	16	3361	2306	776	80	.02409997	.023802441	.034692109	.038700432	1.605829
7673	61	35	7626	6795	1993	7	.0036716496	.0009179124	.0010301692	.25225225	68.702705
7726	6	17	807	1735	875	84	.084262699	.10408922	.048414987	.29955947	3.5550661
9625	53	44	8253	4644	1508	336	.030776687	.040712468	.072351418	.05520539	1.7937405
